NAME,LOCALITY,GDA_LAT,GDA_LONG
EGLINTON HILL,Mountain / Peak / Hill,-31.64466,115.69127
EIGHT MILE,Place Name,-18.33254,125.69185
EIGHT MILE HILL,Mountain / Peak / Hill,-31.62017,116.4288
EIGHT MILE ROCK,Place Name,-31.23518,116.96071
EIGHTY MILE BEACH,Beach,-19.66416,120.88185
EIGHTY MILE BEACH CARAVAN PARK,Place Name,-19.75568,120.67024
EILEEN HILL,Mountain / Peak / Hill,-19.99003,125.1632
EJANDING,Place Name,-31.01409,117.11619
EL QUESTRO,Homestead,-16.00797,127.98147
ELABBIN,Place Name,-31.23028,118.14554
ELACHBUTTING HILL,Mountain / Peak / Hill,-30.59219,118.6122
ELBOW POINT,Cape / Headland / Point,-13.94119,126.57196
ELBOW SHOAL,Place Name,-25.0182,113.6258
ELDRIDGE,Place Name,-32.78831,115.89313
ELEPHANT HILL,Mountain / Peak / Hill,-15.04947,128.5058
ELEPHANT POINT,Cape / Headland / Point,-16.55485,122.98524
ELGEE CLIFFS,Place Name,-16.94257,127.45921
ELGIN,Place Name,-33.51364,115.63155
ELIOT RANGE,Place Name,-18.25411,128.09073
ELIZA ROCKS,Mountain / Peak / Hill,-25.88592,127.56397
ELIZABETH AND CATHERINE RANGE,Place Name,-15.84647,125.16123
ELIZABETH HILLS,Mountain / Peak / Hill,-22.79554,127.99393
ELLAVALLA,Homestead,-25.08954,114.38023
ELLEKER,Place Name,-35.00821,117.72221
ELLEN COVE,Bay / Inlet / Cove,-35.02263,117.92273
ELLEN PEAK,Mountain / Peak / Hill,-34.35739,118.33402
ELLENBRAE,Homestead,-15.95765,127.06357
ELLENDALE,Homestead,-17.92789,124.81043
ELLIS RANGE,Place Name,-24.32268,128.40887
ELPHIN,Place Name,-30.83905,116.67064
ELSEY HILLS,Place Name,-19.83557,128.04544
ELTEKON,Homestead,-34.41992,117.53205
ELVIRE CROSSING,Place Name,-18.22628,127.76832
ELVIRE GORGE,Gorge,-18.28519,128.02207
ELVIRE ROCK,Place Name,-29.50192,119.5999
EMANUEL RANGE,Place Name,-18.72263,126.03212
EMANUEL RANGE,Place Name,-18.68676,125.9769
EMBALGUN,Place Name,-16.8007,122.62791
EMERIAU POINT,Cape / Headland / Point,-16.77143,122.57032
EMERY RANGE,Place Name,-23.69442,128.66035
EMU BEND,Place Name,-34.65292,118.03789
EMU CREEK COMMUNITY,Place Name,-15.81653,128.78834
EMU FARM,Homestead,-26.57605,120.35584
EMU FLAT,Place Name,-31.02142,122.03382
EMU HILL,Place Name,-32.10588,118.36668
EMU HILL,Mountain / Peak / Hill,-32.08134,118.29045
EMU HILL,Mountain / Peak / Hill,-30.88311,121.14535
EMU PLAINS,Place Name,-30.8687,121.83548
EMU POINT,Place Name,-34.99781,117.93708
EMU POINT,Cape / Headland / Point,-34.99506,117.95007
EMU RANGE,Place Name,-22.97824,122.18233
EMU ROCK,Place Name,-31.36129,121.52293
EMU ROCKS,Place Name,-30.85295,123.16499
EMUMING ROCK,Place Name,-31.09046,116.94109
ENCOUNTER COVE,Bay / Inlet / Cove,-14.13331,126.19051
ENEABBA,Populated Place,-29.81958,115.2659
ENTRANCE POINT,Cape / Headland / Point,-21.67002,114.97158
ENTRANCE POINT,Cape / Headland / Point,-18.00887,122.20714
ENTRANCE POINT,Cape / Headland / Point,-32.15719,115.66071
EPILEPTIC ROCK,Place Name,-33.03855,117.38765
ERADU,Place Name,-28.71226,115.01964
ERADU HILL,Mountain / Peak / Hill,-28.71024,115.0418
ERAGILGA HILLS,Mountain / Peak / Hill,-30.31383,115.22955
ERAWALLA HILL,Mountain / Peak / Hill,-26.79892,120.27505
ERAWONDOO HILL,Mountain / Peak / Hill,-26.18476,116.94283
ERAYINIA HILL,Mountain / Peak / Hill,-31.01982,122.63668
ERICA RANGES,Place Name,-21.11642,128.50472
ERIKIN,Place Name,-31.9325,117.89634
ERINBEE POINT,Place Name,-19.34207,121.43061
ERLISTOUN,Homestead,-28.3429,122.14407
ERLISTOUN,Place Name,-27.97835,122.33794
ERNEST FAVENC BREAKAWAYS,Place Name,-27.13679,128.07054
ERNEST GILES RANGE,Place Name,-27.09351,123.84936
ERNEST GILES RANGE,Place Name,-26.91161,123.84204
ERONG SPRINGS,Homestead,-25.56469,116.66641
ERRABIDDY,Homestead,-25.4615,117.13497
ERRABIDDY HILLS,Place Name,-26.89834,115.83708
ERROLLS,Place Name,-27.31314,119.03945
ERSKINE,Place Name,-32.5506,115.70254
ERSKINE POINT,Mountain / Peak / Hill,-17.85428,124.35988
ERSKINE RANGE,Place Name,-17.83002,124.34063
ERSKINE TERMINAL,Place Name,-17.84675,124.36821
ESCAPE PASSAGE,Place Name,-16.42833,123.12547
ESPERANCE,Populated Place,-33.86013,121.88259
ESPERANCE BAY,Bay / Inlet / Cove,-33.84848,121.91836
ESPERANCE DOWNS RESEARCH STATION,Place Name,-33.60237,121.78616
ESPERANCE WHARF,Place Name,-33.85281,121.89303
ESPLANADE,Place Name,-32.05888,115.74466
ETHEL CREEK,Homestead,-22.89791,120.16997
ETHEL HILL,Mountain / Peak / Hill,-29.54034,123.33889
ETMILYN,Place Name,-32.73672,116.13591
EUARALLA,Homestead,-32.68452,116.89726
EUCALYPTUS,Place Name,-29.15902,122.14063
EUCLA,Place Name,-31.67525,128.88369
EUCLA MOTOR HOTEL,Place Name,-31.67772,128.88307
EUCLA PASS,Pass,-31.67776,128.87747
EUCLA TOWNSITE TELEGRAPH STATION,Place Name,-31.71363,128.84885
EUDAMULLAH,Homestead,-24.45057,115.60773
EUJINYN,Place Name,-31.89988,118.0481
EULAMINNA,Place Name,-28.96113,121.76969
EULIN,Place Name,-33.83461,116.72532
EULIN CROSSING,Place Name,-33.69968,116.68411
EULO HILL,Mountain / Peak / Hill,-33.86284,117.21902
EULUP,Place Name,-34.6352,117.54406
EURABIN,Homestead,-34.04471,118.29088
EURARDY STATION,Homestead,-27.5651,114.67453
EURO,Place Name,-28.71364,122.40473
EURO GORGE,Gorge,-15.05482,126.73466
EVANS,Place Name,-33.7466,116.28251
EVASIDE CROSSING,Place Name,-29.03571,115.97981
EVERARD JUNCTION,Road Junction,-25.17427,124.97906
EWING BAY,Bay / Inlet / Cove,-32.19859,115.66911
EWINGTON MINE,Place Name,-33.36176,116.23902
EWLYAMARTUP,Place Name,-33.70467,117.73618
EXMOUTH,Populated Place,-21.9402,114.12501
EXMOUTH GULF,Homestead,-22.37649,114.11125
EXMOUTH GULF,Bay / Inlet / Cove,-22.17752,114.25453
EXMOUTH GULF,Bay / Inlet / Cove,-21.92325,114.38347
EYANNING,Place Name,-30.70151,117.99469
EYLES FIELD,Place Name,-16.54119,125.51929
EYRE,Place Name,-32.24543,126.30243
FAIRBRIDGE FARM SCHOOL,Place Name,-32.60024,115.94857
FAIRFIELD,Homestead,-33.76912,121.28563
FAIRFIELD,Homestead,-17.57277,125.06761
FAIRFIELD VALLEY,Place Name,-17.55912,125.03319
FAIR-VIEW,Homestead,-33.84248,118.11625
FAITH HILL,Mountain / Peak / Hill,-14.71935,128.18724
FALCON,Place Name,-32.57693,115.65908
FALCON BAY,Bay / Inlet / Cove,-32.57452,115.6536
FALCONER HILLS,Mountain / Peak / Hill,-19.5006,127.63903
FALL POINT,Cape / Headland / Point,-17.97938,122.33611
FALLS OF FORTH,Place Name,-34.83575,117.08182
FALLS POUND,Place Name,-21.1732,119.07417
FALSE CAPE BOSSUT,Cape / Headland / Point,-18.57568,121.72938
FALSE ENTRANCE,Bay / Inlet / Cove,-26.3874,113.30308
FALSE ENTRANCE BLOWHOLES,Place Name,-26.40473,113.30405
FALSE HOUSE ROOF HILL,Mountain / Peak / Hill,-15.54764,128.57072
FALSE ISLAND,Place Name,-35.01527,118.1755
FALSE ISLAND POINT,Cape / Headland / Point,-21.85145,114.02433
FALSE MOUNT COCKBURN,Mountain / Peak / Hill,-15.63811,127.98625
FALSE SUMMIT,Mountain / Peak / Hill,-20.69184,116.62138
FAME RANGE,Place Name,-25.62057,123.69585
FAMILY ROCKS,Place Name,-35.09888,117.8532
FANNY COVE,Bay / Inlet / Cove,-33.85388,121.19471
FANTOME PASSAGE,Place Name,-16.46936,123.36058
FARMERS CROSSING,Place Name,-32.80897,116.43729
FARQUHARSON TABLELAND,Place Name,-27.07197,123.16432
FARQUHARSON TABLELAND,Place Name,-27.04881,122.99521
FARR ISLANDS,Place Name,-16.45082,123.40043
FARRAR,Place Name,-33.84163,117.07954
FAULKNER HILL,Mountain / Peak / Hill,-27.06067,126.36215
FAURE,Homestead,-25.88718,113.90948
FAURE FLAT,Place Name,-25.92476,113.9452
FEATHERSTONHAUGH HILL,Mountain / Peak / Hill,-26.99655,126.28848
FEDERATION HEADLAND,Place Name,-26.27416,122.11867
FENELON PASSAGE,Place Name,-14.15148,125.68644
FERDINAND HILLS,Place Name,-19.89167,127.83576
FERGUSON,Place Name,-33.43829,115.84419
FERGUSON HILL,Mountain / Peak / Hill,-33.49109,115.86753
FERN RIDGE,Homestead,-34.89336,117.70179
FERNBROOK,Place Name,-33.26729,115.99766
FERNDALE,Place Name,-33.81509,115.94304
FERNHILL,Homestead,-32.39305,117.26445
FEY HILL,Mountain / Peak / Hill,-20.8841,119.15843
FINCH ISLANDS,Place Name,-16.13824,123.46388
FINDLAY HILL,Mountain / Peak / Hill,-18.17511,125.99535
FINGOON RANGE,Place Name,-22.64285,122.2253
FINLAY RANGE,Place Name,-25.84983,127.91192
FINLAYSON HILL,Mountain / Peak / Hill,-29.36488,115.98246
FINLAYSON RANGE,Place Name,-26.52844,120.07924
FINUCANE,Place Name,-20.29888,118.56739
FINUCANE ISLAND,Waterbody Island,-20.30385,118.55893
FIRESTICK CAVE,Place Name,-31.76879,127.01979
FIRST HILL,Mountain / Peak / Hill,-22.32516,118.89379
FISH POINT,Cape / Headland / Point,-28.42712,113.74369
FISHER BLUFF,Mountain / Peak / Hill,-20.83763,126.90489
FISHERY BEACH,Beach,-34.42473,119.39586
FISHERY HILL,Mountain / Peak / Hill,-18.41315,124.73758
FITZGERALD,Place Name,-33.75182,119.45933
FITZGERALD RANGE,Place Name,-22.99057,115.74855
FITZROY BLUFF,Place Name,-17.6125,126.10173
FITZROY BLUFF,Place Name,-17.60804,126.09722
FITZROY CROSSING,Populated Place,-18.19714,125.56663
FITZROY PASTORAL RESEARCH STATION,Place Name,-18.12735,125.32371
FIVE MILE BAY,Bay / Inlet / Cove,-23.04749,113.82481
FIVE MILE HILL,Mountain / Peak / Hill,-20.95507,120.19934
FIVE MILE HILL,Mountain / Peak / Hill,-30.68458,121.46711
FIVE MILE HILL,Mountain / Peak / Hill,-31.61006,116.91469
FLACOURT BAY,Bay / Inlet / Cove,-20.74873,115.36555
FLAG HILL,Mountain / Peak / Hill,-28.43419,113.7382
FLAG HILL,Mountain / Peak / Hill,-25.91852,113.51933
FLAT GRANITE ROCK,Place Name,-33.29158,117.2035
FLAT TOP,Mountain / Peak / Hill,-24.62973,128.14293
FLAT TOP HILL,Mountain / Peak / Hill,-15.13552,128.05287
FLAT TOP RANGE,Place Name,-24.83348,118.63031
FLAT TOPPED HILL,Mountain / Peak / Hill,-28.18302,119.86685
FLEAYS,Place Name,-32.00838,116.80254
FLEMING GROVE,Place Name,-33.57032,121.80609
FLETCHER ISLANDS,Place Name,-16.36066,124.3492
FLINDERS BAY,Bay / Inlet / Cove,-34.32988,115.26538
FLINDERS PEAK,Mountain / Peak / Hill,-34.09569,123.17273
FLINDERS PENINSULA,Place Name,-35.09674,118.00799
FLINT HILL,Mountain / Peak / Hill,-24.75746,117.16876
FLINT HILL,Mountain / Peak / Hill,-24.80066,127.54565
FLORA VALLEY,Homestead,-18.29399,128.44093
FLORABEL HILL,Mountain / Peak / Hill,-33.45386,123.0512
FLORADALE,Homestead,-34.96502,117.64002
FLOREAT,Place Name,-31.93401,115.79081
FLOREAT BEACH,Beach,-31.92777,115.7539
FLORIDA,Place Name,-32.62377,115.62485
FLOWER HILL,Mountain / Peak / Hill,-26.13683,127.01871
FLY POINT,Cape / Headland / Point,-13.9133,126.60806
FLYING FOAM PASSAGE,Place Name,-20.43174,116.85002
FLYWELL,Place Name,-18.28842,127.60215
FOAM PASSAGE,Place Name,-16.04637,124.4574
FOLLY HILL,Mountain / Peak / Hill,-27.95389,114.69305
FONYANNA OUTCAMP,Homestead,-20.59797,118.24315
FOOTPRINT FLAT,Place Name,-20.51197,124.70186
FORBES HILL,Mountain / Peak / Hill,-16.75471,125.45192
FORBES OUTCAMP,Homestead,-25.42779,121.04307
FORD ISLAND,Waterbody Island,-25.23297,116.61661
FORDING POINT,Cape / Headland / Point,-26.57962,113.81187
FOREBANK HILLS,Mountain / Peak / Hill,-21.05762,126.68534
FOREST GROVE,Place Name,-34.07197,115.10652
FORESTIER BAY,Bay / Inlet / Cove,-20.59519,117.81213
FORK FLAT,Place Name,-26.25598,113.63963
FORK HILL,Mountain / Peak / Hill,-17.0761,126.18088
FORMBY,Place Name,-33.97666,118.0683
FORREST,Place Name,-30.85152,128.10169
FORREST BEACH,Beach,-33.56861,115.46478
FORREST HUMMOCK,Mountain / Peak / Hill,-23.11535,114.72335
FORRESTANIA MINE SITE VILLAGE,Place Name,-32.5271,119.83165
FORRESTDALE,Place Name,-32.14721,115.93677
FORRESTFIELD,Place Name,-31.9403,115.99058
FORRESTFIELD SOUTH,Place Name,-31.98281,115.98025
FORSYTH BLUFF,Mountain / Peak / Hill,-35.0852,117.64914
FORT MCKELLAR,Place Name,-24.79747,127.86894
FORT MUELLER,Mountain / Peak / Hill,-26.18707,127.98935
FORT SIDING,Place Name,-22.44006,119.01882
FORT WELCOME,Mountain / Peak / Hill,-26.139,127.93547
FORTESCUE ROADHOUSE,Place Name,-21.29449,116.13826
FORTIFICATION HILL,Mountain / Peak / Hill,-33.84418,120.00396
FORTNUM VILLAGE,Place Name,-25.31471,118.34501
FORTRESS PEAK,Mountain / Peak / Hill,-25.23162,115.72286
FORTY MILE CROSSING,Place Name,-27.53279,115.01836
FOSSIL DOWNS,Homestead,-18.13951,125.77591
FOSSIL HILL,Mountain / Peak / Hill,-25.05116,115.55118
FOSSIL HILL,Mountain / Peak / Hill,-18.23171,125.91045
FOSSIL ISLAND,Waterbody Island,-15.31616,128.26756
FOSTER BEACH,Beach,-34.50428,119.22782
FOSTER OUTCAMP,Place Name,-26.42587,113.44819
FOSTER RANGE,Place Name,-15.29224,126.51717
FOUL BAY,Bay / Inlet / Cove,-35.03169,116.96322
FOUL BAY,Bay / Inlet / Cove,-34.23216,115.0182
FOUL POINT,Cape / Headland / Point,-16.80261,123.15237
FOUR MILE BEACH,Beach,-33.92368,120.0476
FOUR MILE HILL,Mountain / Peak / Hill,-33.68416,115.39049
FOUR MILE HILL,Mountain / Peak / Hill,-30.57553,121.64401
FOURTEEN MILE CROSSING,Place Name,-27.77627,114.79155
FOWLIE HILL,Mountain / Peak / Hill,-33.36721,123.04769
FRANK ROCK,Place Name,-31.03547,116.98445
FRANK SCOTT HILL,Mountain / Peak / Hill,-26.25486,127.06039
FRANK WISE INST OF TROPICAL AGRICULTURAL RESEARCH,Place Name,-15.65274,128.71008
FRANKLAND,Place Name,-34.36321,117.08296
FRASER HILL,Mountain / Peak / Hill,-16.88557,125.20014
FRASER INLET,Place Name,-15.45538,123.16265
FRASER RANGE,Place Name,-31.9746,122.88495
FRAZIER DOWNS,Homestead,-18.79964,121.71208
FREMANTLE,Place Name,-32.05186,115.74644
FRENCH HILLS,Place Name,-20.91043,127.06142
FRENCHES,Place Name,-31.56337,116.65617
FRENCHMAN BAY,Bay / Inlet / Cove,-35.08158,117.96025
FRENCHMAN PEAK,Mountain / Peak / Hill,-33.96785,122.16704
FRERE RANGE,Place Name,-25.6168,120.59268
FRESHWATER BAY,Bay / Inlet / Cove,-13.99183,126.19297
FRESHWATER COVE,Bay / Inlet / Cove,-15.81433,124.40779
FRESHWATER POINT,Cape / Headland / Point,-29.60466,114.97422
FREYCINET REACH,Place Name,-26.00963,113.42894
FROME ROCKS,Mountain / Peak / Hill,-18.22104,123.63246
FROSTS CAMP,Place Name,-33.84613,120.1526
FURNISSDALE,Populated Place,-32.56459,115.76618
G R 1 HILL,Mountain / Peak / Hill,-29.56028,122.05092
GAALGEGUP,Place Name,-34.63511,117.92496
GABALONG,Place Name,-30.72095,116.38864
GABANINTHA,Place Name,-26.92886,118.64869
GABBIN,Place Name,-30.79907,117.68053
GABIDINE HILL,Mountain / Peak / Hill,-31.62589,116.43029
GABIMINGA HILL,Mountain / Peak / Hill,-31.62561,116.51903
GABYON,Homestead,-28.24919,116.3405
GABYS PEAK,Mountain / Peak / Hill,-30.94867,115.55539
GAGG ISLANDS,Place Name,-16.1739,123.42974
GAIRDNER,Place Name,-34.21003,118.93629
GAIRDNER RANGE,Place Name,-30.16175,115.20319
GALAH CHANNEL,Place Name,-16.08245,123.57152
GALAH ROCKS,Place Name,-29.69323,120.24856
GALAMANDA,Place Name,-17.75279,125.38458
GALERU GORGE,Gorge,-18.61384,126.08711
GALERU GORGE,Place Name,-18.60885,126.07645
GALERY HILL,Mountain / Peak / Hill,-21.62365,119.04163
GALES BAY,Bay / Inlet / Cove,-22.43495,114.17938
GALIL,Homestead,-34.57267,118.40753
GALLEY POINT,Cape / Headland / Point,-13.97366,126.70749
GALVANS GORGE,Gorge,-16.80122,125.84488
GANINYI,Place Name,-18.7079,126.71124
GANTHEAUME BAY,Bay / Inlet / Cove,-27.68246,114.11832
GANTHEAUME BAY,Bay / Inlet / Cove,-17.95315,122.19163
GANTHEAUME POINT,Cape / Headland / Point,-17.97362,122.17574
GAP POINT,Mountain / Peak / Hill,-15.74099,128.2912
GARDEN GRANITE ROCK,Place Name,-27.50422,118.04288
GARDEN GRANITES,Place Name,-27.45974,118.02138
GARDEN POINT,Cape / Headland / Point,-26.4008,113.87218
GARDEN SIDING,Place Name,-22.04049,118.99719
GARDNER PLATEAU,Place Name,-16.22629,125.74297
GARDNER PLATEAU,Place Name,-15.68416,126.88418
GARDNER PLATEAU,Place Name,-14.99199,126.39725
GARDNER PLATEAU,Place Name,-15.73518,125.41394
GARDNER RANGE,Place Name,-19.21325,128.84923
GARINGA,Homestead,-34.32453,117.47223
GARRATT,Place Name,-31.26927,119.24636
GARY JUNCTION,Road Junction,-22.5088,125.26622
GASCOYNE FLATS,Place Name,-24.96541,113.65244
GASCOYNE JUNCTION,Place Name,-25.04963,115.20935
GASCOYNE ROAD,Place Name,-24.89504,113.60487
GATTENHOF HILL,Mountain / Peak / Hill,-15.05837,126.76987
GAVENOO FLAT,Place Name,-30.33221,115.40916
GAY HILL,Mountain / Peak / Hill,-29.5083,121.78641
GAZA RIDGE,Place Name,-31.26369,116.27103
GEAK POINT,Cape / Headland / Point,-35.05348,117.91135
GEE GIE OUTCAMP,Homestead,-27.35154,114.14261
GEEKABEE HILL,Mountain / Peak / Hill,-34.31322,117.3967
GEELAKIN ROCK,Place Name,-30.97792,118.62547
GEELAMING HILLS,Place Name,-32.62991,117.41922
GEERALYING,Place Name,-32.98861,117.05015
GEERANING ROCK,Place Name,-30.52439,118.59877
GEGELUP,Place Name,-33.58787,123.88837
GEIKIE GORGE,Gorge,-18.0713,125.72418
GEIKIE HILL,Mountain / Peak / Hill,-18.08505,125.68293
GEIKIE RANGE,Place Name,-18.01677,125.77364
GELORUP,Populated Place,-33.40512,115.63439
GEMINI HILLS,Mountain / Peak / Hill,-16.4107,127.01792
GENGA,Place Name,-28.13078,117.77012
GEOFFROY BAY,Bay / Inlet / Cove,-18.90529,121.58653
GEOGRAPHE BAY,Bay / Inlet / Cove,-33.49947,115.52287
GEOGRAPHE CHANNEL,Place Name,-24.53898,113.36237
GEORGE HILL,Mountain / Peak / Hill,-32.92188,116.32992
GEORGE JONES HILL,Mountain / Peak / Hill,-23.85422,123.14788
GEORGE WATER,Bay / Inlet / Cove,-15.83962,124.63695
GEORGINA,Place Name,-28.87605,114.75371
GERALD PENINSULA,Cape / Headland / Point,-16.42215,123.58589
GERALDTON,Populated Place,-28.77897,114.61459
GERANIUM HARBOUR,Place Name,-13.91607,126.54889
GERBRYN,Homestead,-33.80774,122.24079
GETENMELLUP,Place Name,-33.51924,120.18404
GHOOLI,Place Name,-31.25609,119.45733
GHOST CASTLE HILL,Mountain / Peak / Hill,-21.28029,122.23903
GHOST ROCKS,Place Name,-29.55766,120.88221
GIANTS CAUSEWAY,Place Name,-34.65962,118.72415
GIBB RANGE,Place Name,-16.17147,126.53855
GIBB RIVER (NGALLAGUNDA),Homestead,-16.42889,126.43292
GIBB ROCK,Homestead,-32.08391,119.09725
GIBBS,Place Name,-33.35372,116.67407
GIBLETT HILLS,Place Name,-24.47626,123.57876
GIBRALTAR ROCK,Place Name,-33.49272,116.19614
GIBRALTAR ROCK,Place Name,-29.20529,121.20115
GIBSON,Place Name,-33.64949,121.81135
GIBSON DESERT,Place Name,-22.97011,127.65898
GIBSON DESERT,Place Name,-22.61077,126.6566
GIBSON DESERT,Place Name,-22.56957,125.47558
GIBSON DESERT,Place Name,-27.03369,126.08367
GIBSON DESERT,Place Name,-26.50427,126.25235
GIBSON DESERT,Place Name,-25.01744,127.55299
GIBSON DESERT,Place Name,-25.52996,126.88513
GIBSON DESERT,Place Name,-24.44125,127.82147
GIBSON DESERT,Place Name,-24.1255,127.73407
GIBSON DESERT,Place Name,-24.50034,126.81842
GIBSON DESERT,Place Name,-26.32596,125.4119
GIBSON DESERT,Place Name,-25.51288,125.4893
GIBSON DESERT,Place Name,-25.58501,124.39558
GIBSON DESERT,Place Name,-24.50202,125.25405
GIBSON DESERT,Place Name,-24.72652,124.32748
GIBSON DESERT,Place Name,-23.43819,128.08248
GIBSON DESERT,Place Name,-23.48165,126.7607
GIBSON DESERT,Place Name,-23.53437,125.29208
GIBSON DESERT,Place Name,-23.63368,124.31616
GIBSON HILL,Mountain / Peak / Hill,-27.59477,122.98047
GIBSON POINT,Cape / Headland / Point,-13.99315,125.98269
GIDGEGANNUP,Place Name,-31.79306,116.19639
GIDGEGANNUP HILL,Mountain / Peak / Hill,-31.80563,116.18503
GIDGI SIDING,Place Name,-22.48841,119.0787
GIDGIA PLAINS,Place Name,-18.27919,127.21677
GIDGIE,Homestead,-34.03704,118.09792
GIDJI,Place Name,-30.61588,121.43059
GIDJI ROASTER,Place Name,-30.58784,121.45736
GIFFORD CREEK,Homestead,-24.04673,116.21902
GILBERMINE HILL,Mountain / Peak / Hill,-31.7568,116.9936
GILBERT POINT,Cape / Headland / Point,-32.18939,115.66528
GILES METEOROLOGICAL STATION,Place Name,-25.03329,128.30297
GILES POINT,Mountain / Peak / Hill,-23.25092,119.16122
GILES TREE,Place Name,-26.19275,127.97856
GILGAI,Place Name,-31.25019,120.07311
GILGERING CROSSING,Place Name,-32.019,116.80069
GILLAM SIDING,Place Name,-21.09275,118.77778
GILLAROONG,Place Name,-18.29464,125.60138
GILLESPIE HILLS,Place Name,-24.26311,127.72435
GILLINGARRA,Place Name,-30.93362,116.05088
GILLINGARRA HILL,Mountain / Peak / Hill,-30.93316,116.07145
GILLMAN,Place Name,-19.14762,128.94095
GILROYD,Homestead,-25.82269,115.19102
GILUNGARRA,Place Name,-19.98017,127.55082
GINDALBIE,Homestead,-30.2825,121.75988
GINDALBIE,Place Name,-30.33221,121.74588
GINDALBIE WOOLSHED,Place Name,-30.20865,121.77607
GINGERAH HILL,Mountain / Peak / Hill,-19.34347,122.13178
GINGIN,Populated Place,-31.34722,115.90432
GINGINUP,Place Name,-33.78971,121.25505
GINGINUP HILL,Mountain / Peak / Hill,-31.31434,115.90502
GIPPS HILLS,Place Name,-27.87024,121.3263
GIRALIA,Homestead,-22.68367,114.36743
GIRALIA BAY,Bay / Inlet / Cove,-22.45422,114.34839
GIRALIA RANGE,Place Name,-23.37987,114.0119
GIRALIA RANGE,Place Name,-22.89686,114.15126
GIRAUD POINT,Cape / Headland / Point,-26.46457,113.63018
GIRRAWHEEN,Homestead,-34.95001,117.46733
GIRRIYOOWA,Place Name,-18.72066,126.76888
GLACIER VALLEY,Gorge,-21.19421,119.05304
GLADSTONE,Place Name,-25.9582,114.26184
GLADSTONE BAY,Bay / Inlet / Cove,-25.97896,114.23938
GLADYS PATERSON HILLS,Place Name,-27.72631,123.75366
GLANVILLE,Homestead,-34.0713,117.54285
GLASCOCK HILL,Mountain / Peak / Hill,-28.30177,122.91262
GLASS HILL,Mountain / Peak / Hill,-17.2752,128.68704
GLEDHOW,Place Name,-35.00897,117.84288
GLEESON,Homestead,-28.91192,121.42746
GLEESON HILL,Mountain / Peak / Hill,-31.781,116.46254
GLEN,Homestead,-27.05257,117.65235
GLEN BEIGH,Homestead,-34.52288,117.1044
GLEN CAMEL,Place Name,-24.01244,118.53033
GLEN CUMMING,Place Name,-24.99545,128.39152
GLEN ELLEN,Homestead,-34.37284,118.40508
GLEN FIELDER,Place Name,-24.99426,128.35852
GLEN FLORRIE,Homestead,-22.93599,115.98156
GLEN FORREST,Place Name,-31.91472,116.07429
GLEN GERALD,Place Name,-24.98904,128.3619
GLEN HELEN,Place Name,-25.01831,128.14608
GLEN HERRING,Place Name,-21.33462,119.62456
GLEN IRIS,Place Name,-33.33609,115.68752
GLEN IRWIN,Place Name,-31.98884,116.82323
GLEN MERVYN,Place Name,-33.5303,116.06972
GLEN OSBORNE,Place Name,-26.02921,128.28409
GLEN ROSS,Place Name,-24.17953,118.04065
GLEN TURRET,Homestead,-34.20266,118.20109
GLEN-AYLE,Homestead,-25.26623,122.04218
GLENBURGH,Homestead,-25.4323,116.11413
GLENBURN,Homestead,-34.47896,117.04174
GLENCOE,Homestead,-34.61502,117.64141
GLENDALOUGH,Place Name,-31.9148,115.82288
GLENEAGLE,Place Name,-32.29038,116.19185
GLENELG,Homestead,-34.29291,118.28099
GLENELG HILLS,Place Name,-31.91306,118.7738
GLENELG ROCK,Place Name,-31.93228,118.78687
GLENFIELD,Place Name,-28.69282,114.62008
GLENGARRY RANGE,Place Name,-26.19298,118.99279
GLENISLA,Homestead,-34.073,118.17826
GLENISTER KNOLLS,Place Name,-18.68923,126.03709
GLENLYNN,Place Name,-34.0043,116.15493
GLENMERE,Homestead,-34.69945,117.38466
GLENN CAVE,Place Name,-31.03086,126.95392
GLENORA,Homestead,-34.12927,117.53983
GLENORCHY,Place Name,-33.6404,116.75624
GLENORE,Homestead,-33.20997,116.79095
GLENORN,Homestead,-29.08519,121.67244
GLENROY,Homestead,-17.35702,126.10947
GLENROY MEATWORKS,Place Name,-17.30938,126.07775
GLENSIDE,Place Name,-33.35616,116.84426
GLENVAR,Homestead,-30.79746,116.89221
GLIDER GORGE,Gorge,-14.82212,126.82835
GLOBE HILL,Mountain / Peak / Hill,-22.60527,115.2154
GLOVER HILL,Mountain / Peak / Hill,-25.5107,120.10785
GLOVER TABLETOP,Mountain / Peak / Hill,-24.97466,120.01923
GLYCOSMIS BAY,Bay / Inlet / Cove,-13.8894,127.07639
GLYNDE HILL,Mountain / Peak / Hill,-23.60402,123.08799
GNABBARRAWARDOO,Place Name,-23.42329,114.43379
GNABBARRYARRA,Place Name,-23.85825,114.22535
GNABBERDOCKING ROCK,Place Name,-30.70561,119.07285
GNALBARRAJUNGA HILL,Mountain / Peak / Hill,-24.36028,115.52434
GNAMA HILL,Mountain / Peak / Hill,-32.18102,122.69661
GNAMMA HILL,Mountain / Peak / Hill,-31.99164,118.81126
GNAMMA HOLE POINT,Mountain / Peak / Hill,-25.56041,126.75942
GNAMMAMONING HILL,Mountain / Peak / Hill,-30.97786,118.16588
GNANAGOORAGOO PEAK,Mountain / Peak / Hill,-26.89689,117.71663
GNANGARA,Place Name,-31.77549,115.86518
GNARAGNUNGING ROCK,Place Name,-30.22085,117.95917
